Males 2001,Females 2001,Males 2002,Females 2002,Males 2003,Females 2003,Males 2004,Females 2004,Males 2005,Females 2005,Males 2006,Females 2006,Males 2007,Females 2007,Males 2008,Females 2008,Males 2009,Females 2009,Males 2010,Females 2010,Males 2011,Females 2011,Males 2012,Females 2012
"24,125","39,157","24,594","39,421","25,393","39,959","26,862","41,269","26,001","39,950","28,118","42,387","28,947","43,194","29,190","43,190","30,442","44,417","30,785","44,691","31,211","31,211","31,743","45,223"
"20,965","35,393","21,381","35,644","22,156","36,147","23,583","37,505","22,804","36,203","24,776","38,592","25,545","39,413","25,770","39,390","27,011","40,664","27,327","40,903","27,749","27,749","28,282","41,428"
"17,952","31,601","18,304","31,832","19,040","32,298","20,399","33,685","19,738","32,449","21,519","34,732","22,233","35,554","22,431","35,502","23,643","36,824","23,924","37,019","24,332","24,332","24,848","37,528"
"15,128","27,837","15,408","28,039","16,094","28,469","17,362","29,863","16,840","28,734","18,399","30,857","19,059","31,668","19,223","31,581","20,390","32,945","20,628","33,092","21,013","21,013","21,498","33,574"
"12,528","24,159","12,737","24,327","13,361","24,718","14,518","26,097","14,144","25,106","15,464","27,027","16,072","27,813","16,198","27,686","17,301","29,082","17,493","29,178","17,846","17,846","18,287","29,624"
"10,184","20,627","10,323","20,759","10,878","21,111","11,909","22,449","11,677","21,615","12,758","23,304","13,312","24,052","13,399","23,885","14,423","25,295","14,568","25,340","14,883","14,883","15,271","25,742"
"8,114","17,300","8,191","17,394","8,673","17,707","9,568","18,979","9,462","18,309","10,316","19,751","10,816","20,450","10,865","20,244","11,797","21,647","11,895","21,643","12,169","12,169","12,499","21,996"
"6,327","14,230","6,354","14,288","6,761","14,563","7,519","15,745","7,514","15,235","8,163","16,429","8,607","17,066","8,624","16,829","9,452","18,199","9,509","18,150","9,739","9,739","10,009","18,451"
"4,823","11,462","4,811","11,488","5,146","11,724","5,769","12,797","5,837","12,431","6,311","13,389","6,699","13,957","6,689","13,698","7,407","15,007","7,430","14,922","7,617","7,617","7,829","15,169"
"3,589","9,025","3,551","9,024","3,817","9,224","4,315","10,173","4,428","9,928","4,760","10,673","5,091","11,167","5,063","10,897","5,669","12,118","5,666","12,005","5,812","5,812","5,971","12,201"
"2,604","6,935","2,551","6,915","2,757","7,079","3,143","7,897","3,274","7,746","3,498","8,308","3,774","8,726","3,733","8,457","4,231","9,567","4,210","9,436","4,321","4,321","4,434","9,585"
"1,839","5,193","1,782","5,159","1,936","5,292","2,225","5,975","2,354","5,891","2,500","6,305","2,724","6,648","2,679","6,393","3,076","7,371","3,043","7,233","3,124","3,124","3,200","7,340"
"1,264","3,783","1,208","3,743","1,320","3,847","1,529","4,401","1,643","4,357","1,737","4,657","1,913","4,930","1,868","4,698","2,174","5,534","2,138","5,399","2,194","2,194","2,242","5,471"
844,"2,678",795,"2,636",873,"2,716","1,019","3,150","1,111","3,127","1,170","3,342","1,305","3,554","1,264","3,351","1,493","4,042","1,457","3,917","1,495","1,495","1,522","3,962"
547,"1,838",507,"1,800",559,"1,859",658,"2,187",725,"2,172",765,"2,328",864,"2,485",829,"2,316",994,"2,868",963,"2,758",987,987,"1,001","2,784"
